namefirst,namelast,playerid,yearid
Hank,Aaron,aaronha01,1982
Pete,Alexander,alexape01,1938
Roberto,Alomar,alomaro01,2011
Walter,Alston,alstowa01,1983
Sparky,Anderson,andersp01,2000
Cap,Anson,ansonca01,1939
Luis,Aparicio,aparilu01,1984
Luke,Appling,applilu01,1964
Richie,Ashburn,ashburi01,1995
Earl,Averill,averiea01,1975
Jeff,Bagwell,bagweje01,2017
Home Run,Baker,bakerfr01,1955
Dave,Bancroft,bancrda01,1971
Ernie,Banks,bankser01,1977
Al,Barlick,barlial99,1989
Ed,Barrow,barroed99,1953
Jake,Beckley,becklja01,1971
Cool Papa,Bell,bellco99,1974
Johnny,Bench,benchjo01,1989
Chief,Bender,bendech01,1953
Yogi,Berra,berrayo01,1972
Craig,Biggio,biggicr01,2015
Bert,Blyleven,blylebe01,2011
Wade,Boggs,boggswa01,2005
Jim,Bottomley,bottoji01,1974
Lou,Boudreau,boudrlo01,1970
Roger,Bresnahan,bresnro01,1945
George,Brett,brettge01,1999
Lou,Brock,brocklo01,1985
Dan,Brouthers,broutda01,1945
Mordecai,Brown,brownmo01,1949
Ray,Brown,brownra99,2006
Willard,Brown,brownwi02,2006
Morgan,Bulkeley,bulkemo99,1937
Jim,Bunning,bunniji01,1996
Jesse,Burkett,burkeje01,1946
Roy,Campanella,camparo01,1969
Rod,Carew,carewro01,1991
Max,Carey,careyma01,1961
Steve,Carlton,carltst01,1994
Gary,Carter,cartega01,2003
Alexander,Cartwright,cartwal99,1938
Orlando,Cepeda,cepedor01,1999
Henry,Chadwick,chadwhe99,1938
Frank,Chance,chancfr01,1946
Happy,Chandler,chandha99,1982
Oscar,Charleston,charlos99,1976
Jack,Chesbro,chesbja01,1946
Nestor,Chylak,chylane99,1999
Fred,Clarke,clarkfr01,1945
John,Clarkson,clarkjo01,1963
Roberto,Clemente,clemero01,1973
Ty,Cobb,cobbty01,1936
Mickey,Cochrane,cochrmi01,1947
Eddie,Collins,collied01,1939
Jimmy,Collins,colliji01,1945
Earle,Combs,combsea01,1970
Charlie,Comiskey,comisch01,1939
Jocko,Conlan,conlajo01,1974
Roger,Connor,connoro01,1976
Tommy,Connolly,connoto99,1953
Andy,Cooper,coopean99,2006
Stan,Coveleski,covelst01,1969
Bobby,Cox,coxbo01,2014
Sam,Crawford,crawfsa01,1957
Joe,Cronin,cronijo01,1956
Candy,Cummings,cummica01,1939
Kiki,Cuyler,cuyleki01,1968
Ray,Dandridge,dandrra99,1987
George,Davis,davisge01,1998
Andre,Dawson,dawsoan01,2010
Leon,Day,dayle99,1995
Dizzy,Dean,deandi01,1953
Ed,Delahanty,delahed01,1945
Bill,Dickey,dickebi01,1954
Martin,Dihigo,dihigma99,1977
Joe,DiMaggio,dimagjo01,1955
Larry,Doby,dobyla01,1998
Bobby,Doerr,doerrbo01,1986
Barney,Dreyfuss,dreyfba99,2008
Don,Drysdale,drysddo01,1984
Hugh,Duffy,duffyhu01,1945
Leo,Durocher,durocle01,1994
Dennis,Eckersley,eckerde01,2004
Billy,Evans,evansbi99,1973
Johnny,Evers,eversjo01,1946
Buck,Ewing,ewingbu01,1939
Red,Faber,faberre01,1964
Bob,Feller,fellebo01,1962
Rick,Ferrell,ferreri01,1984
Rollie,Fingers,fingero01,1992
Carlton,Fisk,fiskca01,2000
Elmer,Flick,flickel01,1963
Whitey,Ford,fordwh01,1974
Bill,Foster,fostebi99,1996
Rube,Foster,fosteru99,1981
Nellie,Fox,foxne01,1997
Jimmie,Foxx,foxxji01,1951
Ford,Frick,frickfo99,1970
Frankie,Frisch,friscfr01,1947
Pud,Galvin,galvipu01,1965
Charlie,Gehringer,gehrich01,1949
Lou,Gehrig,gehrilo01,1939
Bob,Gibson,gibsobo01,1981
Josh,Gibson,gibsojo99,1972
Warren,Giles,gileswa99,1979
Pat,Gillick,gillipa99,2011
Tom,Glavine,glavito02,2014
Lefty,Gomez,gomezle01,1972
Joe,Gordon,gordojo01,2009
Goose,Goslin,gosligo01,1968
Rich,Gossage,gossari01,2008
Frank,Grant,grantfr99,2006
Hank,Greenberg,greenha01,1956
Clark,Griffith,griffcl01,1946
Ken,Griffey,griffke02,2016
Burleigh,Grimes,grimebu01,1964
Lefty,Grove,grovele01,1947
Vladimir,Guerrero,guerrvl01,2018
Tony,Gwynn,gwynnto01,2007
Chick,Hafey,hafeych01,1971
Jesse,Haines,haineje01,1970
Billy,Hamilton,hamilbi01,1961
Ned,Hanlon,hanlone01,1996
Bucky,Harris,harribu01,1975
Will,Harridge,harriwi99,1972
Gabby,Hartnett,hartnga01,1955
Doug,Harvey,harvedo99,2010
Harry,Heilmann,heilmha01,1952
Rickey,Henderson,henderi01,2009
Billy,Herman,hermabi01,1975
Whitey,Herzog,herzowh01,2010
Pete,Hill,hillpe99,2006
Trevor,Hoffman,hoffmtr01,2018
Harry,Hooper,hoopeha01,1971
Rogers,Hornsby,hornsro01,1942
Waite,Hoyt,hoytwa01,1969
Cal,Hubbard,hubbaca99,1976
Carl,Hubbell,hubbeca01,1947
Miller,Huggins,huggimi01,1964
William,Hulbert,hulbewi99,1995
Catfish,Hunter,hunteca01,1987
Monte,Irvin,irvinmo01,1973
Reggie,Jackson,jacksre01,1993
Travis,Jackson,jackstr01,1982
Fergie,Jenkins,jenkife01,1991
Hughie,Jennings,jennihu01,1945
Ban,Johnson,johnsba99,1937
Judy,Johnson,johnsju99,1975
Randy,Johnson,johnsra05,2015
Walter,Johnson,johnswa01,1936
Chipper,Jones,jonesch06,2018
Addie,Joss,jossad01,1978
Al,Kaline,kalinal01,1980
Tim,Keefe,keefeti01,1964
Willie,Keeler,keelewi01,1939
Joe,Kelley,kellejo01,1971
George,Kell,kellge01,1983
High Pockets,Kelly,kellyge01,1973
King,Kelly,kellyki01,1945
