namefirst,namelast,playerid,schoolid,yearid
Pat,Gillick,gillipa99,calavco,1956
Pat,Gillick,gillipa99,usc,1957
Pat,Gillick,gillipa99,usc,1958
Tony,Gwynn,gwynnto01,sandiegost,1979
Tony,Gwynn,gwynnto01,sandiegost,1980
Tony,Gwynn,gwynnto01,sandiegost,1981
Doug,Harvey,harvedo99,sandiegost,1955
Doug,Harvey,harvedo99,sandiegost,1956
Trevor,Hoffman,hoffmtr01,cacypre,1986
Trevor,Hoffman,hoffmtr01,cacypre,1987
Harry,Hooper,hoopeha01,stmarysca,1907
Randy,Johnson,johnsra05,usc,1983
Randy,Johnson,johnsra05,usc,1984
Randy,Johnson,johnsra05,usc,1985
Joe,Morgan,morgajo02,camerri,1962
Jackie,Robinson,robinja02,ucla,1940
Tom,Seaver,seaveto01,cafrecc,1964
Tom,Seaver,seaveto01,usc,1965
Ozzie,Smith,smithoz01,calpoly,1974
Ozzie,Smith,smithoz01,calpoly,1975
Ozzie,Smith,smithoz01,calpoly,1976
Ozzie,Smith,smithoz01,calpoly,1977
Dick,Williams,willidi02,capasad,1947
