playerid,avg
anderla02,240000.0
ashbyan01,109000.0
ayraubo01,125000.0
bankswi01,240000.0
batchri01,157500.0
batiski01,100000.0
batismi01,153000.0
bautijo01,150000.0
beller01,145000.0
benesan01,68000.0
bennega01,825000.0
bereja01,1200000.0
blackbu02,3250000.0
booneaa01,750000.0
bouchde01,135000.0
bowiemi01,650000.0
brantje01,2800000.0
burrose01,525000.0
buterdr01,987500.0
canalge01,100000.0
carlybu01,330000.0
cartela02,550000.0
castiru01,871429.0
centeju01,507500.0
chacijh01,4850000.0
chicoma01,409000.0
chrisni01,500000.0
colabch01,521300.0
conroti01,115000.0
cormila01,405000.0
cornere01,109000.0
crometr01,109000.0
damicje01,2300000.0
delarjo01,10000000.0
dreifda01,12400000.0
dunnemi01,222500.0
edmonbr01,170000.0
eilanda01,135000.0
elartsc01,300000.0
elsteke01,300000.0
erickjo01,200000.0
fariepa01,122500.0
fasseje01,750000.0
fernajo02,651000.0
floydcl01,429500.0
foxer01,154000.0
garcifr02,10000000.0
gaudich01,900000.0
gedmari01,920000.0
greggto01,375000.0
grosski01,165000.0
hammoje01,8200000.0
haneych01,118000.0
hershor01,2000000.0
higgibo02,8850000.0
hillmi01,158000.0
hinojda01,514000.0
hookch01,109000.0
huttoma01,265000.0
ilslebl01,109000.0
jeffest01,122500.0
johnske05,3000000.0
johnsmi02,220000.0
johnsra05,9100546.0
juliojo01,3600000.0
jurrjja01,5500000.0
kellyro01,800000.0
lakest01,60000.0
landrbi01,60000.0
leachte01,425000.0
leiussc01,275000.0
lerouch01,486000.0
levisje01,400000.0
lylesjo01,2475000.0
mainejo01,3300000.0
martijo07,400000.0
martisa01,318000.0
marzajo01,77000.0
mccarbr01,12500000.0
mcglike01,242000.0
melusmi01,200000.0
mercelu01,120000.0
mlickda01,1250000.0
moellde01,112000.0
molingu01,380000.0
molinjo01,200000.0
moyerja01,1100000.0
natalro01,147500.0
nieuwki01,525415.0
nieveme01,118000.0
nixla01,390000.0
nokesma01,109000.0
ohkato01,2750000.0
ojedabo01,650000.0
ottavad01,1300000.0
paintla01,109000.0
parrila02,125000.0
pirklgr01,112500.0
pughti01,182500.0
ravinjo01,515000.0
redmama01,1000000.0
remlimi01,115000.0
reyesan01,392500.0
reyesca01,500000.0
riverma01,10500000.0
rosenst01,130000.0
ruffijo01,195000.0
sageraj01,109000.0
sanchan01,390000.0
schmija01,2750000.0
searcst01,175000.0
shielja02,21000000.0
silvajo01,650000.0
slatedo01,422500.0
smithgr02,406000.0
sotoge01,3050000.0
sternad01,335000.0
tabakje01,140000.0
tomlira01,975000.0
tremich01,109000.0
tsaoch01,317000.0
valdeis01,5737500.0
valenjo02,6350000.0
varvaan01,481250.0
veresra01,160000.0
wardtu01,200000.0
washiul01,80000.0
weberbe01,600000.0
wengedo01,240000.0
whitema02,272500.0
wiggial01,512500.0
willida07,234000.0
wilsoni01,125000.0
woodke02,3000000.0
