playerid,yearid,salary
abbotpa01,2004,600000.0
aceveal01,2010,435650.0
almanca01,2001,270000.0
alvarwi01,1991,100000.0
anderla02,1986,240000.0
ashbyan01,1992,109000.0
austije01,2002,205000.0
ayraubo01,1993,125000.0
baekch01,2008,392500.0
bankswi01,1995,240000.0
batchri01,1997,157500.0
batiski01,1991,100000.0
batismi01,1997,153000.0
bautijo01,1997,150000.0
beller01,1993,145000.0
benesan01,1989,68000.0
bennega01,2008,825000.0
bereja01,1999,1200000.0
birkbmi01,1987,70000.0
blackbu02,1994,3250000.0
bonined01,2009,400000.0
booneaa01,2009,750000.0
bootcch01,2008,415000.0
bosioch01,1986,60000.0
bouchde01,1994,135000.0
bowiemi01,2008,650000.0
boydoi01,1989,550000.0
brantje01,1999,2800000.0
burnsco01,2013,492000.0
burrira01,1987,100000.0
burrose01,2012,525000.0
buterdr01,2015,987500.0
canalge01,1990,100000.0
candejo01,1989,800000.0
carlsda01,1998,175000.0
carltst01,1986,60000.0
carlybu01,2005,330000.0
cartela02,2006,550000.0
carych01,1991,570000.0
castiru01,2014,871429.0
centeju01,2015,507500.0
chacijh01,2014,4850000.0
chicoma01,2008,409000.0
chrisni01,2014,500000.0
colabch01,2016,521300.0
colonba01,2006,14000000.0
conroti01,1987,115000.0
cormila01,2007,405000.0
cornere01,1995,109000.0
coxda01,1994,800000.0
crometr01,1993,109000.0
cummijo01,1993,109000.0
damicje01,2001,2300000.0
davisdo02,2002,310000.0
delarjo01,2011,10000000.0
dreifda01,2003,12400000.0
dunnemi01,1990,222500.0
edmonbr01,1998,170000.0
eilanda01,1993,135000.0
elartsc01,2003,300000.0
elsteke01,1995,300000.0
erickjo01,1997,200000.0
fariepa01,1992,122500.0
farrejo03,1987,62500.0
fasseje01,2006,750000.0
fernajo02,2015,651000.0
fireost01,1986,64000.0
floydcl01,1993,109000.0
floydcl01,2009,750000.0
forscke01,1986,100000.0
fossato01,1998,170000.0
foxer01,1995,154000.0
garcifr02,2007,10000000.0
gaudich01,2011,900000.0
gedmari01,1990,920000.0
gohrgr01,1995,165000.0
graveda01,1997,160000.0
greggto01,1993,375000.0
grimsja01,1993,125000.0
grosski01,1993,165000.0
guevaca01,2008,390000.0
hammoje01,2003,8200000.0
haneych01,1992,118000.0
helliri01,1997,165000.0
hendrli01,2013,495000.0
heredwi01,1997,150000.0
hershor01,2000,2000000.0
higgibo02,2005,8850000.0
hillmi01,1994,158000.0
hinojda01,2016,514000.0
hollade01,2015,7400000.0
hookch01,1996,109000.0
huismma01,1986,100000.0
huttoma01,1998,265000.0
ilslebl01,1994,109000.0
jeffest01,1989,90000.0
jeffest01,1990,155000.0
jeffrje01,2013,495900.0
johnsda05,1996,125000.0
johnske05,2014,3000000.0
johnsmi02,2001,220000.0
johnsra05,2007,9100546.0
juliojo01,2007,3600000.0
jurrjja01,2012,5500000.0
kellesh01,2011,420000.0
kellyro01,2000,800000.0
kenneia01,2008,394275.0
kobayma01,2009,3000000.0
krivdri01,1997,150000.0
lackejo01,2014,15250000.0
lakest01,1986,60000.0
landrbi01,1986,60000.0
langsma01,1989,1350000.0
lazorja01,1988,97000.0
leachte01,1989,425000.0
ledezwi01,2005,335000.0
leiussc01,1993,275000.0
lerouch01,2012,486000.0
levisje01,1999,400000.0
lylesjo01,2015,2475000.0
mahompa01,1997,360000.0
mainejo01,2010,3300000.0
marquja01,2015,1500000.0
martijo07,2009,400000.0
martisa01,2000,318000.0
marzajo01,1988,77000.0
mcandja01,1995,109000.0
mccarbr01,2016,12500000.0
mccargr01,1996,109000.0
mcglike01,2000,242000.0
meadobr01,2001,1900000.0
melusmi01,1999,200000.0
mercelu01,1993,120000.0
miranan01,1997,350000.0
mlickda01,1998,1250000.0
moellde01,1993,112000.0
molingu01,2007,380000.0
molinjo01,1999,200000.0
morrobr01,2013,8000000.0
moyerja01,2012,1100000.0
munozos01,1995,109000.0
natalro01,1994,147500.0
nielsje01,1993,115000.0
nieuwki01,2015,525415.0
nieveme01,1994,118000.0
nixla01,2007,390000.0
noesihe01,2015,1950000.0
nokesma01,1995,109000.0
nunezed01,1992,1075000.0
ohkato01,2005,2750000.0
ohkato01,2007,1500000.0
ojedabo01,1987,650000.0
ottavad01,2015,1300000.0
paintla01,1993,109000.0
paintla01,2001,1000000.0
parrila02,1993,125000.0
parrist01,2003,400000.0
pirklgr01,1995,112500.0
pughti01,1994,170000.0
pughti01,1996,195000.0
ravinjo01,2016,515000.0
redmama01,2008,1000000.0
remlimi01,1994,115000.0
reyesan01,2008,392500.0
reyesca01,2000,500000.0
rhodear01,1994,230000.0
righeda01,1995,300000.0
riverma01,2006,10500000.0
rosenst01,1991,130000.0
ruffijo01,1995,195000.0
sageraj01,1995,109000.0
sampebi01,1994,225000.0
sanchan01,2008,390000.0
schepta01,2016,900000.0
schmija01,2000,2750000.0
schoupe01,1998,1600000.0
