playerid,yearid,teamid,ab
aaronha01,1955,ML1,602
aaronha01,1956,ML1,609
aaronha01,1957,ML1,615
aaronha01,1958,ML1,601
aaronha01,1959,ML1,629
aaronha01,1960,ML1,590
aaronha01,1961,ML1,603
aaronha01,1962,ML1,592
aaronha01,1963,ML1,631
aaronha01,1964,ML1,570
aaronha01,1965,ML1,570
aaronha01,1966,ATL,603
aaronha01,1967,ATL,600
aaronha01,1968,ATL,606
aaronha01,1969,ATL,547
aaronha01,1970,ATL,516
abbated01,1904,BSN,579
abbated01,1905,BSN,610
abbeych01,1894,WAS,523
abbeych01,1895,WAS,516
abreubo01,1999,PHI,546
abreubo01,2000,PHI,576
abreubo01,2001,PHI,588
abreubo01,2002,PHI,572
abreubo01,2003,PHI,577
abreubo01,2004,PHI,574
abreubo01,2005,PHI,588
abreubo01,2007,NYA,605
abreubo01,2008,NYA,609
abreubo01,2009,LAA,563
abreubo01,2010,LAA,573
abreubo01,2011,LAA,502
abreujo02,2014,CHA,556
abreujo02,2015,CHA,613
abreujo02,2016,CHA,624
abreujo02,2017,CHA,621
abstebi01,1909,PIT,512
ackledu01,2012,SEA,607
ackledu01,2014,SEA,502
adairje01,1962,BAL,538
adairje01,1964,BAL,569
adairje01,1965,BAL,582
adamsbo03,1952,CIN,637
adamsbo03,1953,CIN,607
adamsbu01,1944,PHI,584
adamsbu01,1945,SLN,578
adamsma01,2014,SLN,527
adamssp01,1925,CHN,627
adamssp01,1926,CHN,624
adamssp01,1927,CHN,647
adamssp01,1928,PIT,539
adamssp01,1930,SLN,570
adamssp01,1931,SLN,608
adamssp01,1933,CIN,538
adcocjo01,1953,ML1,590
adcocjo01,1960,ML1,514
adcocjo01,1961,ML1,562
ageeto01,1966,CHA,629
ageeto01,1967,CHA,529
ageeto01,1969,NYN,565
ageeto01,1970,NYN,636
aikenwi01,1980,KCA,543
alexada01,1929,DET,626
alexada01,1930,DET,602
alexada01,1931,DET,517
alfoned01,1997,NYN,518
alfoned01,1998,NYN,557
alfoned01,1999,NYN,628
alfoned01,2000,NYN,544
alfoned01,2003,SFN,514
alfoned01,2004,SFN,519
alicelu01,2000,TEX,540
allenbe01,1962,MIN,573
allenbo01,1892,PHI,563
allendi01,1964,PHI,632
allendi01,1965,PHI,619
allendi01,1966,PHI,524
allendi01,1968,PHI,521
allendi01,1971,LAN,549
allendi01,1972,CHA,506
allenet01,1929,CIN,538
allenet01,1934,PHI,581
allenet01,1935,PHI,645
alleyge01,1966,PIT,579
alleyge01,1967,PIT,550
allisbo01,1959,WS1,570
allisbo01,1960,WS1,501
allisbo01,1961,MIN,556
allisbo01,1962,MIN,519
allisbo01,1963,MIN,527
almadme01,1935,BOS,607
almonbi01,1977,SDN,613
alomaro01,1988,SDN,545
alomaro01,1989,SDN,623
alomaro01,1990,SDN,586
alomaro01,1991,TOR,637
alomaro01,1992,TOR,571
alomaro01,1993,TOR,589
alomaro01,1995,TOR,517
alomaro01,1996,BAL,588
alomaro01,1998,BAL,588
alomaro01,1999,CLE,563
alomaro01,2000,CLE,610
alomaro01,2001,CLE,575
alomaro01,2002,NYN,590
alomasa01,1969,CAL,559
alomasa01,1970,CAL,672
alomasa01,1971,CAL,689
alomasa01,1972,CAL,610
alonsyo01,2012,SDN,549
aloufe01,1962,SFN,561
aloufe01,1963,SFN,565
aloufe01,1965,ML1,555
aloufe01,1966,ATL,666
aloufe01,1967,ATL,574
aloufe01,1968,ATL,662
aloufe01,1970,OAK,575
alouje01,1965,SFN,543
alouje01,1967,SFN,510
alouma01,1966,PIT,535
alouma01,1967,PIT,550
alouma01,1968,PIT,558
alouma01,1969,PIT,698
alouma01,1970,PIT,677
alouma01,1971,SLN,609
aloumo01,1996,MON,540
aloumo01,1997,FLO,538
aloumo01,1998,HOU,584
aloumo01,2001,HOU,513
aloumo01,2003,CHN,565
aloumo01,2004,CHN,601
alperwh01,1907,BRO,558
altizda01,1907,WS1,540
altmage01,1961,CHN,518
altmage01,1962,CHN,534
altuvjo01,2012,HOU,576
altuvjo01,2013,HOU,626
altuvjo01,2014,HOU,660
altuvjo01,2015,HOU,638
altuvjo01,2016,HOU,640
altuvjo01,2017,HOU,590
alvarpe01,2012,PIT,525
alvarpe01,2013,PIT,558
alvisma01,1963,CLE,602
alvisma01,1965,CLE,604
alvisma01,1966,CLE,596
alvisma01,1967,CLE,637
anderbr01,1992,BAL,623
