location,building,building_name,address,city_name,county,category,osfg,bldg_asf,levels,year,owner,mp_code,book_value,clean_location
AG FIELD STAT,8211,DV 2801 2ND,2801 2ND STREET,DAVIS (YOLO),YOLO,GENERAL,43817,25649,2,2013,UC,P,8191972.0,AG FIELD STAT
AG FIELD STAT,E214,H NUTRI BHARN,UNIVERSIT 4Y0 R7D0,HOPLAND,MENDOCIN O,GENERAL,7520,7329,1,1955,UC,P,389.0,AG FIELD STAT
AG FIELD STAT,E231,H POTTING SH,UNIVERSIT Y40 R7D0,HOPLAND,MENDOCIN O,GENERAL,155,131,1,1962,UC,P,0.0,AG FIELD STAT
AG FIELD STAT,E308,H 308 HOUSE,UNIVERSIT Y40 R7D0,HOPLAND,MENDOCIN O,GENERAL,1118,968,1,1956,UC,P,0.0,AG FIELD STAT
AG FIELD STAT,E319,STORAGE 9,UNIVERSIT Y40 R7D0,HOPLAND,MENDOCIN O,GENERAL,147,147,1,1979,UC,P,0.0,AG FIELD STAT
AG FIELD STAT,G107,SCREENH SE,HOLTON R10D04 E,EL CENTRO,IMPERIAL,GENERAL,1008,933,1,1970,UC,P,0.0,AG FIELD STAT
AG FIELD STAT,G214,STORAGE 2,HOLTON R10D04 E,EL CENTRO,IMPERIAL,GENERAL,1920,3736,1,1967,UC,P,0.0,AG FIELD STAT
AG FIELD STAT,G306,D 306 HOUSE,HOLTON R10D04 E,EL CENTRO,IMPERIAL,GENERAL,1113,1050,1,1947,UC,P,0.0,AG FIELD STAT
AG FIELD STAT,H201,E COW BE ARN,15 PURISIMA,HALF MOON BAY,SAN MATEO,GENERAL,3550,3429,1,1960,UC,P,,AG FIELD STAT
AG FIELD STAT,J105,K ADMIN KBLDG,RIVERBEN D92 A4V0 ES,PARLIER,FRESNO,GENERAL,7964,4688,1,1968,UC,P,155.0,AG FIELD STAT
AG FIELD STAT,J115,K MITCHELL,RIVERBEN 9D2 A4V0 ES,PARLIER,FRESNO,GENERAL,11583,11049,1,1992,UC,P,248832.0,AG FIELD STAT
