column_name,percent_missing
_id,0.0
business_id,0.0
name,0.0
address,0.0
city,0.0
state,0.0
postal_code,0.0
latitude,0.0
longitude,0.0
stars,0.0
review_count,0.0
is_open,0.0
categories,0.001
attributes.RestaurantsTableService,0.891
attributes.WiFi,0.648
attributes.BikeParking,0.522
attributes.BusinessParking,0.386
attributes.BusinessAcceptsCreditCards,0.254
attributes.RestaurantsReservations,0.728
attributes.WheelchairAccessible,0.8
attributes.Caters,0.755
attributes.OutdoorSeating,0.711
attributes.RestaurantsGoodForGroups,0.737
attributes.HappyHour,0.909
attributes.BusinessAcceptsBitcoin,0.902
attributes.RestaurantsPriceRange2,0.422
attributes.Ambience,0.738
attributes.HasTV,0.739
attributes.Alcohol,0.744
attributes.GoodForMeal,0.814
attributes.DogsAllowed,0.878
attributes.RestaurantsTakeOut,0.654
attributes.NoiseLevel,0.764
attributes.RestaurantsAttire,0.755
attributes.RestaurantsDelivery,0.686
hours.Monday,0.24
hours.Tuesday,0.196
hours.Wednesday,0.186
hours.Thursday,0.176
hours.Friday,0.186
hours.Saturday,0.297
hours.Sunday,0.465
attributes.GoodForKids,0.647
attributes.ByAppointmentOnly,0.667
hours,1.0
attributes.AcceptsInsurance,0.95
attributes,1.0
attributes.HairSpecializesIn,0.992
attributes.GoodForDancing,0.975
attributes.BestNights,0.965
attributes.Music,0.954
attributes.BYOB,0.983
attributes.CoatCheck,0.97
attributes.Smoking,0.971
attributes.DriveThru,0.968
attributes.BYOBCorkage,0.979
attributes.Corkage,0.981
attributes.RestaurantsCounterService,0.999
