_id,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,attributes.WiFi,attributes.BikeParking,attributes.BusinessParking,attributes.BusinessAcceptsCreditCards,attributes.RestaurantsReservations,attributes.Caters,attributes.OutdoorSeating,attributes.RestaurantsGoodForGroups,attributes.RestaurantsPriceRange2,attributes.Ambience,attributes.HasTV,attributes.Alcohol,attributes.RestaurantsTakeOut,attributes.NoiseLevel,attributes.RestaurantsAttire,attributes.RestaurantsDelivery,hours.Monday,hours.Tuesday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday,attributes.GoodForKids,attributes.ByAppointmentOnly
63bc8fa899903bc4b31f7573,6iYb2HFDywm3zjuRg0shjw,Oskar Blues Taproom,921 Pearl St,Boulder,CO,80302,40.0175444,-105.2833481,4.0,86,1,"Gastropubs, Food, Beer Gardens, Restaurants, Bars, American (Traditional), Beer Bar, Nightlife, Breweries",u'free',True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,False,True,True,True,2,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",True,'beer_and_wine',True,u'average','casual',None,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,,
63bc8fa899903bc4b31f7574,tCbdrRPZA0oiIYSmHG3J0w,Flying Elephants at PDX,7000 NE Airport Way,Portland,OR,97218,45.5889058992,-122.5933307507,4.0,126,1,"Salad, Soup, Sandwiches, Delis, Restaurants, Cafes, Vegetarian",u'free',False,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,False,False,2,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",False,u'beer_and_wine',True,u'average',u'casual',False,5:0-18:0,5:0-17:0,5:0-18:0,5:0-18:0,5:0-18:0,5:0-18:0,5:0-18:0,True,False
63bc8fa899903bc4b31f7575,bvN78flM8NLprQ1a1y5dRg,The Reclaimory,4720 Hawthorne Ave,Portland,OR,97214,45.5119069956,-122.6136928797,4.5,13,1,"Antiques, Fashion, Used, Vintage & Consignment, Shopping, Furniture Stores, Home & Garden",,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,,,,,2,,,,,,,,,,,11:0-18:0,11:0-18:0,11:0-18:0,11:0-18:0,,False
63bc8fa899903bc4b31f7576,oaepsyvc0J17qwi8cfrOWg,Great Clips,2566 Enterprise Rd,Orange City,FL,32763,28.9144823,-81.2959787,3.0,8,1,"Beauty & Spas, Hair Salons",,,,True,,,,,1,,,,,,,,,,,,,,,True,False
63bc8fa899903bc4b31f7577,PE9uqAjdw0E4-8mjGl3wVA,Crossfit Terminus,1046 Memorial Dr SE,Atlanta,GA,30316,33.7470274,-84.3534244,4.0,14,1,"Gyms, Active Life, Interval Training Gyms, Fitness & Instruction",,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,,,,,,,,,,,,,16:0-19:0,16:0-19:0,16:0-19:0,16:0-19:0,16:0-19:0,9:0-11:0,,False,
63bc8fa899903bc4b31f7578,D4JtQNTI4X3KcbzacDJsMw,Bob Likes Thai Food,3755 Main St,Vancouver,BC,V5V,49.2513423,-123.101333,3.5,169,1,"Restaurants, Thai",u'no',True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,True,False,False,True,2,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",False,u'none',True,u'average',u'casual',True,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,True,
63bc8fa899903bc4b31f7579,t35jsh9YnMtttm69UCp7gw,Escott Orthodontics,2511 Edgewater Dr,Orlando,FL,32804,28.573998,-81.3892841,4.5,7,1,"Dentists, Health & Medical, Orthodontists",,,,True,,,,,,,,,,,,,0:0-0:0,8:0-17:30,8:0-17:30,8:0-17:30,8:0-17:30,,,,True
63bc8fa899903bc4b31f757a,jFYIsSb7r1QeESVUnXPHBw,Boxwood Biscuit,740 S High St,Columbus,OH,43206,39.947006523,-82.997471,4.5,11,1,"Breakfast & Brunch, Restaurants",,,,,,,,,,,,,,,,,,,,,,8:0-14:0,8:0-14:0,,
63bc8fa899903bc4b31f757b,N3_Gs3DnX4k9SgpwJxdEfw,Lane Wells Jewelry Repair,"7801 N Lamar Blvd, Ste A140",Austin,TX,78752,30.346169,-97.711458,5.0,30,1,"Shopping, Jewelry Repair, Appraisal Services, Local Services, Jewelry, Engraving, Gold Buyers",,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,,,,,1,,,,None,,,None,12:15-17:0,12:15-17:0,12:15-17:0,12:15-17:0,12:15-17:0,,,,False
63bc8fa899903bc4b31f757c,tXvdYGvlEceDljN8gt2_3Q,Capital City Barber Shop,"615 W Slaughter Ln, Ste 113",Austin,TX,78748,30.1727062,-97.7999199,4.0,5,0,"Barbers, Beauty & Spas",,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",False,,,,,3,,,,,,,,9:0-17:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-16:0,,,False
